team_h,team_a,team_a_difficulty,team_h_difficulty,season
8,9,4,2,20_21
2,19,4,2,20_21
7,4,2,4,20_21
8,12,5,2,20_21
13,19,4,4,20_21
10,5,4,3,20_21
6,18,2,2,20_21
9,15,2,4,20_21
1,17,4,3,20_21
20,11,3,2,20_21
16,3,3,2,20_21
19,10,3,4,20_21
2,20,3,2,20_21
18,14,2,2,20_21
12,13,4,4,20_21
5,7,3,4,20_21
15,16,2,2,20_21
17,6,3,3,20_21
11,8,2,4,20_21
4,1,4,2,20_21
3,9,4,3,20_21
5,20,3,4,20_21
18,12,5,2,20_21
16,1,4,2,20_21
14,10,3,2,20_21
7,9,4,4,20_21
3,8,2,3,20_21
17,11,3,3,20_21
6,19,4,2,20_21
4,2,3,2,20_21
13,15,2,4,20_21
11,6,3,4,20_21
12,16,2,4,20_21
1,7,3,3,20_21
8,14,2,2,20_21
15,3,3,2,20_21
9,17,4,4,20_21
10,13,4,3,20_21
2,18,2,2,20_21
20,4,2,2,20_21
19,5,4,4,20_21
13,9,4,4,20_21
6,2,3,2,20_21
16,8,2,2,20_21
5,1,4,4,20_21
14,12,5,2,20_21
7,15,2,4,20_21
4,10,3,2,20_21
3,19,4,3,20_21
18,11,3,2,20_21
17,20,3,3,20_21
9,6,3,4,20_21
2,5,4,2,20_21
1,3,3,3,20_21
15,4,2,2,20_21
19,16,2,4,20_21
10,18,2,3,20_21
20,13,4,2,20_21
11,14,2,4,20_21
19,7,3,4,20_21
2,13,4,2,20_21
10,17,4,3,20_21
15,6,3,2,20_21
20,3,3,2,20_21
1,18,2,3,20_21
9,14,2,4,20_21
12,5,4,4,20_21
11,16,2,4,20_21
14,15,2,2,20_21
13,4,2,4,20_21
7,20,3,4,20_21
3,12,5,3,20_21
8,17,4,2,20_21
6,1,4,2,20_21
18,20,3,2,20_21
3,10,3,3,20_21
4,19,4,2,20_21
5,8,2,4,20_21
16,9,4,2,20_21
17,15,2,3,20_21
13,11,3,4,20_21
6,12,5,2,20_21
14,1,4,2,20_21
18,19,4,2,20_21
5,9,4,4,20_21
2,12,5,2,20_21
13,8,2,4,20_21
4,11,3,2,20_21
14,2,3,2,20_21
19,6,3,4,20_21
10,14,2,3,20_21
1,16,2,3,20_21
12,18,2,4,20_21
2,4,2,2,20_21
20,5,4,2,20_21
8,3,3,2,20_21
9,7,3,4,20_21
15,13,4,2,20_21
11,17,4,4,20_21
14,7,3,2,20_21
20,6,3,2,20_21
15,12,5,2,20_21
8,18,2,2,20_21
13,1,4,4,20_21
2,16,2,2,20_21
4,5,4,2,20_21
10,9,4,3,20_21
11,19,4,4,20_21
17,3,3,3,20_21
18,15,2,2,20_21
1,20,3,3,20_21
16,13,4,2,20_21
6,14,2,2,20_21
12,4,2,4,20_21
9,8,2,4,20_21
7,10,3,4,20_21
19,2,3,4,20_21
3,11,3,3,20_21
5,17,4,4,20_21
1,2,3,3,20_21
3,4,2,3,20_21
16,14,2,2,20_21
19,8,2,4,20_21
7,13,4,4,20_21
18,17,4,2,20_21
9,20,3,4,20_21
12,11,3,4,20_21
5,15,2,4,20_21
6,10,3,2,20_21
11,9,4,4,20_21
4,6,3,2,20_21
17,12,5,3,20_21
2,3,3,2,20_21
20,16,2,2,20_21
13,18,2,4,20_21
10,1,4,3,20_21
8,7,3,2,20_21
15,19,4,2,20_21
14,5,4,2,20_21
8,4,2,2,20_21
12,7,3,4,20_21
10,20,3,3,20_21
5,16,2,4,20_21
18,4,2,2,20_21
7,11,3,4,20_21
15,8,2,2,20_21
17,19,4,3,20_21
9,2,3,4,20_21
12,1,4,4,20_21
14,13,4,2,20_21
6,3,3,2,20_21
16,10,3,2,20_21
19,12,5,4,20_21
3,18,2,3,20_21
2,10,3,2,20_21
20,14,2,2,20_21
8,6,3,2,20_21
1,9,4,3,20_21
4,17,4,2,20_21
13,5,4,4,20_21
11,15,2,4,20_21
16,7,3,2,20_21
20,12,5,2,20_21
9,4,2,4,20_21
2,15,2,2,20_21
13,6,3,4,20_21
17,8,2,3,20_21
7,18,2,4,20_21
5,11,3,4,20_21
1,4,2,3,20_21
16,15,2,2,20_21
20,2,3,2,20_21
9,3,3,4,20_21
14,18,2,2,20_21
8,11,3,2,20_21
13,12,5,4,20_21
6,17,4,2,20_21
7,5,4,4,20_21
10,19,4,3,20_21
16,12,5,2,20_21
2,14,2,2,20_21
5,10,3,4,20_21
18,6,3,2,20_21
4,7,3,2,20_21
12,8,2,4,20_21
3,16,2,3,20_21
15,9,4,2,20_21
17,1,4,3,20_21
19,13,4,4,20_21
11,20,3,4,20_21
10,8,2,3,20_21
14,3,3,2,20_21
1,19,4,3,20_21
17,2,3,3,20_21
18,5,4,2,20_21
15,10,3,2,20_21
12,9,4,4,20_21
11,1,4,4,20_21
4,16,2,2,20_21
17,14,2,3,20_21
8,2,3,2,20_21
3,13,4,3,20_21
6,7,3,2,20_21
19,20,3,4,20_21
20,8,2,2,20_21
10,12,5,3,20_21
2,11,3,2,20_21
5,6,3,4,20_21
14,4,2,2,20_21
9,19,4,4,20_21
13,17,4,4,20_21
1,15,2,3,20_21
16,18,2,2,20_21
7,3,3,4,20_21
17,7,3,3,20_21
19,14,2,4,20_21
15,20,3,2,20_21
8,1,4,2,20_21
4,13,4,2,20_21
11,10,3,4,20_21
3,5,4,3,20_21
16,17,4,2,20_21
12,2,3,4,20_21
18,9,4,2,20_21
7,1,4,4,20_21
14,11,3,2,20_21
5,19,4,4,20_21
3,15,2,3,20_21
4,20,3,2,20_21
13,10,3,4,20_21
18,2,3,2,20_21
6,9,4,2,20_21
9,16,2,4,20_21
12,6,3,4,20_21
10,3,3,3,20_21
8,5,4,2,20_21
2,7,3,2,20_21
1,14,2,3,20_21
15,17,4,2,20_21
20,18,2,2,20_21
19,4,2,4,20_21
14,9,4,2,20_21
17,10,3,3,20_21
6,15,2,2,20_21
5,12,5,4,20_21
16,11,3,2,20_21
3,20,3,3,20_21
13,2,3,4,20_21
7,19,4,4,20_21
18,1,4,2,20_21
4,8,2,2,20_21
9,13,4,4,20_21
6,16,2,2,20_21
1,5,4,3,20_21
7,2,3,4,20_21
11,13,4,4,20_21
12,14,2,4,20_21
10,4,2,3,20_21
8,16,2,2,20_21
19,3,3,4,20_21
2,6,3,2,20_21
20,17,4,2,20_21
11,18,2,4,20_21
15,7,3,2,20_21
8,13,4,2,20_21
10,16,2,3,20_21
12,3,3,4,20_21
9,5,4,4,20_21
20,7,3,2,20_21
15,14,2,2,20_21
2,17,4,2,20_21
1,6,3,3,20_21
11,4,2,4,20_21
19,18,2,4,20_21
3,1,4,3,20_21
5,2,3,4,20_21
14,8,2,2,20_21
18,10,3,2,20_21
17,9,4,3,20_21
6,11,3,2,20_21
7,12,5,4,20_21
4,15,2,2,20_21
16,19,4,2,20_21
13,20,3,4,20_21
1,3,2,4,21_22
10,13,4,2,21_22
4,5,2,2,21_22
7,6,4,2,21_22
16,8,2,2,21_22
20,9,3,3,21_22
2,18,2,2,21_22
11,15,2,4,21_22
19,14,3,3,21_22
12,17,4,5,21_22
5,11,5,2,21_22
14,2,2,2,21_22
3,7,2,2,21_22
8,10,2,2,21_22
